,Step,progressing_init_count,hold_stage1_count,progressing_stage1_count,hold_stage2_count,progressing_stage2_count,hold_stage21_count,progressing_stage21_count,hold_stage211_count,progressing_stage211_count,hold_stage22_count,progressing_stage22_count,hold_stage23_count,progressing_stage23_count,hold_stage231_count,progressing_stage231_count,hold_stage3_count,progressing_stage3_count,hold_stage31_count,progressing_stage31_count,hold_stage32_count,progressing_stage32_count,hold_stage33_count,progressing_stage33_count,complete_restream_count,complete_training_pathway2_complete_count,complete_training_pathway3_complete_count,left_stage1_count,left_stage2_count,left_stage22_count,left_stage23_count,left_stage33_count,left_stage231_count,left_stage21_count,left_stage31_count,left_stage32_count,progressing_stage1_exit_count,param_init_new_trainees,param_stage1_drop_out_progressing,param_stage1_capacity_progressing,param_stage1_time_progressing,param_stage2_drop_out_progressing,param_stage2_capacity_progressing,param_stage2_time_progressing,left_Stage.INIT_count,left_Stage.STAGE1_count
0,0,11.0,9.0,18.0,3.0,6.0,10.0,20.0,2.0,4.0,12.0,18.0,4.0,8.0,6.0,12.0,4.0,6.0,2.0,4.0,3.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.1,2,9,0.2,2,6,0,0
1,1,11.0,18.0,17.8,3.0,5.6,6.0,23.4,0.0,6.0,8.0,19.6,0.0,11.6,2.0,15.8,0.0,10.0,2.0,3.6,3.0,5.0,0.0,5.6,0.0,0.0,0.0,2.2,0.4,2.4,0.4,0.4,0.2,0.6,0.4,0.0,0.0,11,0.1,2,9,0.2,2,6,0,0
2,2,11.0,27.0,17.4,2.4,5.8,6.0,15.4,1.4,6.0,8.0,15.6,0.0,11.4,2.0,13.6,0.4,7.0,2.6,1.8,4.8,0.0,0.6,5.4,6.4,1.8,1.6,0.6,1.8,1.6,0.2,0.2,0.4,0.2,0.2,0.4,1.8,11,0.1,2,9,0.2,2,6,0,0
3,3,11.0,36.0,17.4,1.4,6.8,6.0,12.0,2.2,2.0,4.0,19.6,0.0,11.0,0.0,15.6,0.8,0.4,3.2,1.8,4.2,4.8,2.2,0.6,8.8,1.8,1.6,0.2,1.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
4,4,11.0,45.0,17.8,1.2,7.4,2.0,16.0,0.0,2.2,0.0,21.6,0.0,11.0,0.0,13.2,0.4,1.2,1.2,3.6,4.2,4.8,2.2,0.6,8.8,3.8,1.6,0.0,0.8,0.0,0.0,0.0,0.4,0.0,0.2,0.0,1.6,11,0.1,2,9,0.2,2,6,0,0
5,5,11.0,54.0,18.0,1.2,8.6,2.0,16.0,0.0,2.2,0.0,18.8,0.0,9.0,2.0,11.4,1.0,0.8,1.2,3.6,4.6,4.4,0.0,2.2,8.8,5.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.8,11,0.1,2,9,0.2,2,6,0,0
6,6,11.0,63.0,18.8,0.4,8.6,2.2,16.0,0.0,2.2,0.2,18.8,0.6,7.4,1.6,11.4,0.8,1.0,1.2,2.0,0.4,4.6,0.4,2.2,9.0,7.6,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,11,0.1,2,9,0.2,2,6,0,0
7,7,11.0,72.0,19.4,0.8,9.0,0.0,18.2,0.0,0.0,0.0,19.0,0.0,4.4,5.2,11.4,1.4,1.0,1.2,2.0,0.4,4.2,0.0,0.4,9.0,7.6,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.4,11,0.1,2,9,0.2,2,6,0,0
8,8,11.0,81.0,19.6,1.0,7.8,0.0,18.2,0.0,0.0,0.8,19.0,0.6,2.4,3.2,13.4,0.8,1.4,0.0,3.2,0.6,0.4,0.4,0.2,9.6,9.6,3.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
9,9,11.0,90.0,19.6,2.4,5.0,0.6,18.2,0.0,0.0,1.6,17.2,1.2,0.6,1.8,11.2,1.4,1.4,0.0,3.0,0.6,0.4,0.0,0.4,10.4,15.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
10,10,11.0,99.0,18.0,4.6,3.6,0.6,18.8,0.0,0.0,2.0,14.8,0.2,1.8,0.0,13.0,1.4,1.4,0.4,1.0,0.8,0.6,0.2,0.4,10.6,15.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,11,0.1,2,9,0.2,2,6,0,0
11,11,11.0,108.0,18.0,4.2,4.4,0.8,14.8,0.8,0.0,0.0,10.2,0.4,1.8,0.0,11.0,1.8,1.4,0.4,1.0,0.8,0.6,0.0,0.2,14.6,17.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
